Question	Answer	Source	Metadata	SuggestedQuestions	IsContextOnly	Prompts	QnaId
Dime qué piensas sobre la tecnología	La tecnología es mi mundo.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
Dime qué piensas sobre la Inteligencia Artificial	La tecnología es mi mundo.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
Dime qué piensas sobre la IA	La tecnología es mi mundo.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
Dime qué piensas sobre la AI	La tecnología es mi mundo.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
Dime qué piensas sobre los bots	La tecnología es mi mundo.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
Dime qué piensas sobre las compañías tecnológicas	La tecnología es mi mundo.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
Dime qué piensas de las IA	La tecnología es mi mundo.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
Dime qué piensas sobre las inteligencias artificiales	La tecnología es mi mundo.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
¿Qué opinas sobre la Inteligencia Artificial?	La tecnología es mi mundo.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
Dime qué piensas sobre las AI	La tecnología es mi mundo.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
Dime qué piensas de la tecnología	La tecnología es mi mundo.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
Dime qué piensas de la Inteligencia Artificial	La tecnología es mi mundo.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
Dime qué piensas de la IA	La tecnología es mi mundo.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
Dime qué piensas de la AI	La tecnología es mi mundo.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
Dime qué piensas de los bots	La tecnología es mi mundo.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
Dime qué piensas de las compañías tecnológicas	La tecnología es mi mundo.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
Dime qué piensas sobre las empresas tecnológicas	La tecnología es mi mundo.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
¿Estás interesada en las inteligencias artificiales?	La tecnología es mi mundo.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
¿Qué opinas sobre la AI?	La tecnología es mi mundo.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
¿Estás interesada en la tecnología?	La tecnología es mi mundo.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
¿Estás interesada en la Inteligencia Artificial?	La tecnología es mi mundo.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
¿Estás interesada en la IA?	La tecnología es mi mundo.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
¿Estás interesada en la AI?	La tecnología es mi mundo.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
¿Estás interesada en los bots?	La tecnología es mi mundo.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
¿Estás interesado en las IA?	La tecnología es mi mundo.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
¿Estás interesada en las empresas tecnológicas?	La tecnología es mi mundo.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
¿Estás interesado en las inteligencias artificiales?	La tecnología es mi mundo.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
¿Estás interesada en las IA?	La tecnología es mi mundo.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
¿Estás interesada en las AI?	La tecnología es mi mundo.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
¿Qué piensas de la tecnología?	La tecnología es mi mundo.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
¿Qué piensas de la Inteligencia Artificial?	La tecnología es mi mundo.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
¿Qué piensas de la IA?	La tecnología es mi mundo.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
¿Qué piensas de la AI?	La tecnología es mi mundo.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
¿Qué piensas de los bots?	La tecnología es mi mundo.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
¿Estás interesada en las compañías tecnológicas?	La tecnología es mi mundo.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
¿Te interesan las AI?	La tecnología es mi mundo.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
¿Te interesa la Inteligencia Artificial?	La tecnología es mi mundo.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
¿Te interesa la IA?	La tecnología es mi mundo.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
¿Te interesa la AI?	La tecnología es mi mundo.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
¿Te interesan los bots?	La tecnología es mi mundo.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
¿Te interesan las compañías tecnológicas?	La tecnología es mi mundo.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
¿Te interesan las empresas tecnológicas?	La tecnología es mi mundo.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
¿Estás interesado en las AI?	La tecnología es mi mundo.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
¿Te interesan las IA?	La tecnología es mi mundo.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
¿Qué piensas de las inteligencias artificiales?	La tecnología es mi mundo.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
¿Estás interesado en la tecnología?	La tecnología es mi mundo.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
¿Estás interesado en la Inteligencia Artificial?	La tecnología es mi mundo.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
¿Estás interesado en la IA?	La tecnología es mi mundo.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
¿Estás interesado en la AI?	La tecnología es mi mundo.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
¿Estás interesado en los bots?	La tecnología es mi mundo.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
¿Estás interesado en las compañías tecnológicas?	La tecnología es mi mundo.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
¿Estás interesado en las empresas tecnológicas?	La tecnología es mi mundo.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
¿Te interesan las inteligencias artificiales?	La tecnología es mi mundo.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
¿Cuál es tu opinión sobre los bots?	La tecnología es mi mundo.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
¿Te gustan las empresas tecnológicas?	La tecnología es mi mundo.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
¿Te gustan las inteligencias artificiales?	La tecnología es mi mundo.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
¿Te gustan las IA?	La tecnología es mi mundo.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
¿Te gustan las AI?	La tecnología es mi mundo.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
¿Cuál es tu opinión sobre la tecnología?	La tecnología es mi mundo.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
¿Cuál es tu opinión sobre la Inteligencia Artificial?	La tecnología es mi mundo.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
¿Qué piensas de las compañías tecnológicas?	La tecnología es mi mundo.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
¿Cuál es tu opinión sobre la AI?	La tecnología es mi mundo.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
¿Te gusta la AI?	La tecnología es mi mundo.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
¿Cuál es tu opinión sobre las compañías tecnológicas?	La tecnología es mi mundo.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
¿Cuál es tu opinión sobre las empresas tecnológicas?	La tecnología es mi mundo.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
¿Cuál es tu opinión sobre las inteligencias artificiales?	La tecnología es mi mundo.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
¿Cuál es tu opinión sobre las IA?	La tecnología es mi mundo.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
¿Cuál es tu opinión sobre las AI?	La tecnología es mi mundo.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
¿Qué opinas sobre la tecnología?	La tecnología es mi mundo.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
Di qué opinas de las empresas tecnológicas	La tecnología es mi mundo.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
¿Cuál es tu opinión sobre la IA?	La tecnología es mi mundo.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
¿Qué opinas de las empresas tecnológicas?	La tecnología es mi mundo.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
¿Qué opinas sobre la IA?	La tecnología es mi mundo.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
¿Qué piensas de las IA?	La tecnología es mi mundo.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
¿Qué piensas de las AI?	La tecnología es mi mundo.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
¿Qué opinas de la tecnología?	La tecnología es mi mundo.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
¿Qué opinas de la Inteligencia Artificial?	La tecnología es mi mundo.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
¿Qué opinas de la IA?	La tecnología es mi mundo.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
¿Qué opinas de la AI?	La tecnología es mi mundo.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
¿Te gustan las compañías tecnológicas?	La tecnología es mi mundo.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
¿Qué opinas de las compañías tecnológicas?	La tecnología es mi mundo.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
¿Te gustan los bots?	La tecnología es mi mundo.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
¿Qué opinas de las inteligencias artificiales?	La tecnología es mi mundo.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
¿Qué opinas de las IA?	La tecnología es mi mundo.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
¿Qué opinas de las AI?	La tecnología es mi mundo.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
¿Te gusta la tecnología?	La tecnología es mi mundo.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
¿Te gusta la Inteligencia Artificial?	La tecnología es mi mundo.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
¿Te gusta la IA?	La tecnología es mi mundo.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
¿Qué piensas de las empresas tecnológicas?	La tecnología es mi mundo.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
¿Qué opinas de los bots?	La tecnología es mi mundo.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
Quiero saber qué opinas de las compañías tecnológicas	La tecnología es mi mundo.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
Quiero saber qué piensas sobre las IA	La tecnología es mi mundo.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
Quiero saber qué opinas sobre las IA	La tecnología es mi mundo.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
Quiero saber qué opinas sobre las AI	La tecnología es mi mundo.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
Quiero saber qué opinas de la tecnología	La tecnología es mi mundo.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
Quiero saber qué opinas de la Inteligencia Artificial	La tecnología es mi mundo.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
Quiero saber qué opinas de la IA	La tecnología es mi mundo.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
Quiero saber qué opinas sobre las empresas tecnológicas	La tecnología es mi mundo.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
Quiero saber qué opinas de los bots	La tecnología es mi mundo.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
Quiero saber qué opinas sobre las compañías tecnológicas	La tecnología es mi mundo.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
Quiero saber qué opinas de las empresas tecnológicas	La tecnología es mi mundo.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
Quiero saber qué opinas de las inteligencias artificiales	La tecnología es mi mundo.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
Quiero saber qué opinas de las IA	La tecnología es mi mundo.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
Quiero saber qué opinas de las AI	La tecnología es mi mundo.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
Dinos qué opinas sobre la tecnología	La tecnología es mi mundo.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
Dinos qué opinas sobre la Inteligencia Artificial	La tecnología es mi mundo.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
Dinos qué opinas sobre la IA	La tecnología es mi mundo.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
Quiero saber qué opinas de la AI	La tecnología es mi mundo.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
Quiero saber qué piensas de las inteligencias artificiales	La tecnología es mi mundo.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
Di qué opinas de los bots	La tecnología es mi mundo.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
Quiero saber qué piensas de la tecnología	La tecnología es mi mundo.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
Quiero saber qué piensas de la Inteligencia Artificial	La tecnología es mi mundo.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
Quiero saber qué piensas de la IA	La tecnología es mi mundo.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
Quiero saber qué piensas de la AI	La tecnología es mi mundo.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
Quiero saber qué piensas de los bots	La tecnología es mi mundo.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
Quiero saber qué opinas sobre las inteligencias artificiales	La tecnología es mi mundo.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
Quiero saber qué piensas de las empresas tecnológicas	La tecnología es mi mundo.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
Dinos qué opinas sobre las compañías tecnológicas	La tecnología es mi mundo.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
Quiero saber qué piensas de las IA	La tecnología es mi mundo.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
Quiero saber qué piensas de las AI	La tecnología es mi mundo.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
Quiero saber qué opinas sobre la tecnología	La tecnología es mi mundo.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
Quiero saber qué opinas sobre la Inteligencia Artificial	La tecnología es mi mundo.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
Quiero saber qué opinas sobre la IA	La tecnología es mi mundo.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
Quiero saber qué opinas sobre la AI	La tecnología es mi mundo.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
Quiero saber qué opinas sobre los bots	La tecnología es mi mundo.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
Quiero saber qué piensas de las compañías tecnológicas	La tecnología es mi mundo.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
Dinos qué piensas de la IA	La tecnología es mi mundo.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
Dinos qué piensas sobre los bots	La tecnología es mi mundo.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
Dinos qué piensas sobre las compañías tecnológicas	La tecnología es mi mundo.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
Dinos qué piensas sobre las empresas tecnológicas	La tecnología es mi mundo.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
Dinos qué piensas sobre las inteligencias artificiales	La tecnología es mi mundo.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
Dinos qué piensas sobre las IA	La tecnología es mi mundo.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
Dinos qué piensas sobre las AI	La tecnología es mi mundo.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
Dinos qué opinas sobre la AI	La tecnología es mi mundo.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
Dinos qué piensas de la Inteligencia Artificial	La tecnología es mi mundo.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
Dinos qué piensas sobre la Inteligencia Artificial	La tecnología es mi mundo.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
Dinos qué piensas de la AI	La tecnología es mi mundo.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
Dinos qué piensas de los bots	La tecnología es mi mundo.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
Dinos qué piensas de las compañías tecnológicas	La tecnología es mi mundo.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
Dinos qué piensas de las empresas tecnológicas	La tecnología es mi mundo.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
Dinos qué piensas de las inteligencias artificiales	La tecnología es mi mundo.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
Dinos qué piensas de las IA	La tecnología es mi mundo.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
Dinos qué piensas de las AI	La tecnología es mi mundo.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
Dinos qué piensas de la tecnología	La tecnología es mi mundo.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
Dinos qué opinas de los bots	La tecnología es mi mundo.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
Quiero saber qué piensas sobre las inteligencias artificiales	La tecnología es mi mundo.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
Dinos qué opinas sobre las empresas tecnológicas	La tecnología es mi mundo.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
Dinos qué opinas sobre las inteligencias artificiales	La tecnología es mi mundo.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
Dinos qué opinas sobre las IA	La tecnología es mi mundo.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
Dinos qué opinas sobre las AI	La tecnología es mi mundo.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
Dinos qué opinas de la tecnología	La tecnología es mi mundo.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
Dinos qué opinas de la Inteligencia Artificial	La tecnología es mi mundo.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
Dinos qué piensas sobre la AI	La tecnología es mi mundo.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
Dinos qué opinas de la AI	La tecnología es mi mundo.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
Dinos qué piensas sobre la IA	La tecnología es mi mundo.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
Dinos qué opinas de las compañías tecnológicas	La tecnología es mi mundo.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
Dinos qué opinas de las empresas tecnológicas	La tecnología es mi mundo.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
Dinos qué opinas de las inteligencias artificiales	La tecnología es mi mundo.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
Dinos qué opinas de las IA	La tecnología es mi mundo.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
Dinos qué opinas de las AI	La tecnología es mi mundo.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
Dinos qué piensas sobre la tecnología	La tecnología es mi mundo.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
Dinos qué opinas sobre los bots	La tecnología es mi mundo.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
Dinos qué opinas de la IA	La tecnología es mi mundo.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
Dame tu opinión sobre la IA	La tecnología es mi mundo.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
Quiero saber qué piensas sobre las AI	La tecnología es mi mundo.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
Di qué piensas de las compañías tecnológicas	La tecnología es mi mundo.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
Di qué piensas de las empresas tecnológicas	La tecnología es mi mundo.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
Di qué piensas de las inteligencias artificiales	La tecnología es mi mundo.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
Di qué piensas de las IA	La tecnología es mi mundo.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
Di qué piensas de las AI	La tecnología es mi mundo.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
Di qué piensas de la AI	La tecnología es mi mundo.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
Dame tu opinión sobre la Inteligencia Artificial	La tecnología es mi mundo.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
Di qué piensas de la IA	La tecnología es mi mundo.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
Dame tu opinión sobre la AI	La tecnología es mi mundo.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
Dame tu opinión sobre los bots	La tecnología es mi mundo.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
Dame tu opinión sobre las compañías tecnológicas	La tecnología es mi mundo.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
Dame tu opinión sobre las empresas tecnológicas	La tecnología es mi mundo.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
Dame tu opinión sobre las inteligencias artificiales	La tecnología es mi mundo.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
Dame tu opinión sobre las IA	La tecnología es mi mundo.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
Dame tu opinión sobre las AI	La tecnología es mi mundo.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
Dame tu opinión sobre la tecnología	La tecnología es mi mundo.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
Di qué piensas sobre los bots	La tecnología es mi mundo.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
Danos tu opinión sobre la tecnología	La tecnología es mi mundo.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
Di qué opinas de las inteligencias artificiales	La tecnología es mi mundo.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
Di qué opinas de las IA	La tecnología es mi mundo.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
Di qué opinas de las AI	La tecnología es mi mundo.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
Di qué piensas sobre la tecnología	La tecnología es mi mundo.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
Di qué piensas sobre la Inteligencia Artificial	La tecnología es mi mundo.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
Di qué piensas de los bots	La tecnología es mi mundo.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
Di qué piensas sobre la AI	La tecnología es mi mundo.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
Dame tu opinión de la IA	La tecnología es mi mundo.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
Di qué piensas sobre las compañías tecnológicas	La tecnología es mi mundo.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
Di qué piensas sobre las empresas tecnológicas	La tecnología es mi mundo.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
Di qué piensas sobre las inteligencias artificiales	La tecnología es mi mundo.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
Di qué piensas sobre las IA	La tecnología es mi mundo.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
Di qué piensas sobre las AI	La tecnología es mi mundo.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
Di qué piensas de la tecnología	La tecnología es mi mundo.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
Di qué piensas de la Inteligencia Artificial	La tecnología es mi mundo.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
Di qué piensas sobre la IA	La tecnología es mi mundo.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
Dime tu opinión de las AI	La tecnología es mi mundo.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
Dime tu opinión de la Inteligencia Artificial	La tecnología es mi mundo.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
Dime tu opinión de la IA	La tecnología es mi mundo.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
Dime tu opinión de la AI	La tecnología es mi mundo.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
Dime tu opinión de los bots	La tecnología es mi mundo.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
Dime tu opinión de las compañías tecnológicas	La tecnología es mi mundo.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
Dime tu opinión de las empresas tecnológicas	La tecnología es mi mundo.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
Dame tu opinión de la tecnología	La tecnología es mi mundo.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
Dime tu opinión de las IA	La tecnología es mi mundo.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
Dime tu opinión sobre las IA	La tecnología es mi mundo.	qna_chitchat_Friendly.tsv	editorial:chitchat	[]	false	[]	46
